Name,one,two,thr,for,fiv,six,sev,etg,nin,ten,ele,twe,thi,fro,fif,sit
L1_SingleJet180er2p5,2.2,4.1,3.8,46.4%,-8.5%,-72.1%,4.6,3.8,-16.7%,2180,4069,3751,2980,4559,3797
L1_DoubleJet150er2p5,1.0,2.3,2.3,58.6%,-2.3%,-136.1%,2.4,2.1,-12.5%,963,2328,2275,898,2442,2136
L1_DoubleJet112er2p3_dEta_Max1p6,2.2,4.6,4.4,51.8%,-4.9%,-97.9%,4.6,5.1,11.9%,2219,4607,4392,2409,4559,5102
L1_DoubleJet30er2p5_Mass_Min300_dEta_Max1p5,1.7,3.6,3.4,54.4%,-5.3%,-108.1%,3.3,4.2,27.5%,1656,3630,3446,1715,3256,4153
L1_DoubleJet30er2p5_Mass_Min330_dEta_Max1p5,1.1,2.5,2.4,55.1%,-6.4%,-109.1%,2.6,2.5,-4.3%,1134,2523,2372,1184,2605,2492
L1_DoubleJet30er2p5_Mass_Min360_dEta_Max1p5,0.8,1.8,1.8,56.5%,-2.4%,-124.2%,1.6,1.9,16.6%,787,1807,1764,898,1628,1899
L1_DoubleJet_110_35_DoubleJet35_Mass_Min620,2.4,13.9,10.9,83.1%,-27.3%,-364.6%,6.8,10.2,49.2%,2356,13934,10945,3552,6838,10205
L1_DoubleJet_115_40_DoubleJet40_Mass_Min620,1.9,9.9,8.3,80.4%,-20.2%,-324.9%,5.2,8.2,57.1%,1945,9929,8263,2817,5210,8188
L1_DoubleJet_120_45_DoubleJet45_Mass_Min620,1.6,7.3,6.3,77.7%,-16.8%,-284.7%,4.7,6.4,35.7%,1627,7309,6259,2204,4722,6408
L1_DoubleJet_115_40_DoubleJet40_Mass_Min620_Jet60TT28,1.9,9.4,7.8,80.0%,-20.3%,-314.7%,4.4,7.6,72.8%,1892,9441,7848,2735,4396,7594
L1_DoubleJet_120_45_DoubleJet45_Mass_Min620_Jet60TT28,1.6,7.0,6.0,77.5%,-16.8%,-280.1%,4.1,5.9,45.8%,1588,7048,6035,2123,4070,5933
L1_TripleJet_95_75_65_DoubleJet_75_65_er2p5,2.3,7.1,6.2,68.1%,-14.7%,-173.1%,4.6,6.1,32.7%,2275,7130,6214,2817,4559,6052
L1_TripleJet_100_80_70_DoubleJet_80_70_er2p5,1.6,4.7,4.1,65.5%,-14.7%,-153.1%,4.1,4.2,2.0%,1616,4688,4089,2082,4070,4153
L1_TripleJet_105_85_75_DoubleJet_85_75_er2p5,1.2,3.2,2.8,63.9%,-16.1%,-138.9%,2.9,3.1,5.3%,1168,3239,2791,1265,2931,3085
L1_QuadJet_95_75_65_20_DoubleJet_75_65_er2p5_Jet20_FWD3p0,0.6,4.6,3.7,87.3%,-24.2%,-535.8%,1.0,3.8,288.7%,579,4574,3683,1143,977,3797
L1_HTT320er_QuadJet_70_55_40_40_er2p4,1.4,8.2,6.8,82.9%,-20.4%,-386.1%,2.4,6.8,176.9%,1394,8155,6776,2000,2442,6764
L1_HTT320er_QuadJet_80_60_er2p1_45_40_er2p3,1.2,5.7,4.9,78.7%,-15.4%,-306.1%,2.0,5.2,167.2%,1209,5665,4908,1592,1954,5221
L1_HTT320er_QuadJet_80_60_er2p1_50_45_er2p3,0.9,4.0,3.6,77.3%,-10.3%,-299.6%,1.5,4.3,191.5%,905,3988,3617,1061,1465,4272
L1_HTT360er,2.7,8.8,7.4,69.3%,-19.5%,-173.1%,4.7,7.1,50.8%,2704,8823,7386,3552,4722,7120
L1_HTT400er,1.9,5.3,4.5,65.0%,-17.1%,-144.2%,3.3,5.0,53.0%,1860,5323,4544,2286,3256,4984
L1_HTT450er,1.3,2.7,2.5,53.4%,-8.4%,-97.8%,2.1,2.6,23.3%,1275,2735,2522,1551,2117,2611
L1_ETT2000,0.6,0.2,0.1,-176.4%,-49.3%,75.8%,0.2,0.2,45.8%,585,212,142,898,163,237
L1_ETM150,0.7,0.5,0.5,-39.1%,-10.7%,35.1%,0.3,0.5,45.8%,725,521,470,1143,326,475
